name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
激进式集群作战网络（词缀·隐藏）,astd_affix_aggressive_swarm_network,1,1,astd_hidden,,,0,TRUE,TRUE,TRUE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.affix.AffixAggressiveSwarmNetworkHullMod,内部用途：赏金词缀 R-16。指挥点恢复提升，周期性歼灭指令。,集群作战网络（隐藏）,,graphics/hullmods/astd_zero_point_compute_core.png
六相冰辐能网络（词缀·隐藏）,astd_affix_cryo_flux_network,1,1,astd_hidden,,,0,TRUE,TRUE,TRUE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.affix.AffixCryoFluxNetworkHullMod,内部用途：赏金词缀 S-02。辐能耗散/排辐强化，EMP 减伤。,六相冰辐能网络（隐藏）,,graphics/hullmods/astd_zero_point_compute_core.png
维度专长（词缀·隐藏）,astd_affix_dimensional_specialty,1,1,astd_hidden,,,0,TRUE,TRUE,TRUE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.affix.AffixDimensionalSpecialtyHullMod,内部用途：赏金词缀 S-06。峰值与 CR 维持强化，系统充能/冷却加快。,维度专长（隐藏）,,graphics/hullmods/astd_zero_point_compute_core.png
引擎辐能网隔离（词缀·隐藏）,astd_affix_engine_flux_isolation,1,1,astd_hidden,,,0,TRUE,TRUE,TRUE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.affix.AffixEngineFluxIsolationHullMod,内部用途：赏金词缀 M-12。零辐能加速阈值与增益提升。,引擎辐能隔离（隐藏）,,graphics/hullmods/astd_zero_point_compute_core.png
引擎超频（词缀·隐藏）,astd_affix_engine_overclock,1,1,astd_hidden,,,0,TRUE,TRUE,TRUE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.affix.AffixEngineOverclockHullMod,内部用途：赏金词缀 S-05。极速提升，机动性下降。,引擎超频（隐藏）,,graphics/hullmods/astd_zero_point_compute_core.png
极限辐能线圈扩容（词缀·隐藏）,astd_affix_flux_coil_expansion,1,1,astd_hidden,,,0,TRUE,TRUE,TRUE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.affix.AffixFluxCoilExpansionHullMod,内部用途：赏金词缀 S-03。辐能容量扩容，耗散降低。,辐能线圈扩容（隐藏）,,graphics/hullmods/astd_zero_point_compute_core.png
电网深化升级（词缀·隐藏）,astd_affix_grid_deepening,1,1,astd_hidden,,,0,TRUE,TRUE,TRUE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.affix.AffixGridDeepeningHullMod,内部用途：赏金词缀 R-15。捆绑辐能网络/反应装甲增益，排辐决策优化。,电网深化（隐藏）,,graphics/hullmods/astd_zero_point_compute_core.png
铁甲重装（词缀·隐藏）,astd_affix_ironclad_plating,1,1,astd_hidden,,,0,TRUE,TRUE,TRUE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.affix.AffixIroncladPlatingHullMod,内部用途：赏金词缀 S-01。装甲与最小装甲强化，航速机动下降。,铁甲重装（隐藏）,,graphics/hullmods/astd_zero_point_compute_core.png
相位线圈降频（词缀·隐藏）,astd_affix_phase_coil_detuning,1,1,astd_hidden,,,0,TRUE,TRUE,TRUE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.affix.AffixPhaseCoilDetuningHullMod,内部用途：赏金词缀 S-08。相位时间流速/辐能产出降低，线圈冷却缩短。仅相位舰。,相位降频（隐藏）,,graphics/hullmods/astd_zero_point_compute_core.png
相位线圈调谐（词缀·隐藏）,astd_affix_phase_coil_tuning,1,1,astd_hidden,,,0,TRUE,TRUE,TRUE,0,0,0,0,cn.kasuminova.astd.combat.hullmods.affix.AffixPhaseCoilTuningHullMod,内部用途：赏金词缀 S-07。相位时间流速提升，峰值/CR 强化。仅相位舰。,相位调谐（隐藏）,,graphics/hullmods/astd_zero_point_compute_core.png
