name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,logistics n/a reason,codex variant id,rarity,breakProb,minPieces,maxPieces,travel drive,number
顶点逻辑,astd_apex_logic,主力舰,自律核心,astd_logic_collapse,60,14000,800,20000,,1500,280,0,50,25,25,30,60,30000,FRONT,,120,0.6,0.8,,,10,250,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,,astd_unique,,astd_apex_logic_Standard,1,0,1,1,,9118
弧光耀斑,astd_arc_flare,主力舰,弧光阵列,astd_arc_flare_overdrive_crewed,55,20000,1500,23000,,1300,300,0,65,20,20,20,40,3500,OMNI,,180,0.37,0.7,,,400,1000,300,300,10,30,7,500000,4,20,920,0.25,60,60,0,0,0,0,0,0,,astd_unique,,astd_arc_flare_Standard,1,0,1,1,,9101
电弧闪,astd_arc_flash,护卫舰,弧光阵列,astd_static_discharge,5,1200,200,2000,,180,55,0,140,70,70,30,60,200,FRONT,,120,0.6,0.8,,,5,15,15,15,1,0,10,12000,10,20,120,0.5,3,3,0,0,0,0,0,0,,astd_production,,astd_arc_flash_Standard,1,0,1,1,,9110
弧光喷流,astd_arc_jet,主力舰,弧光阵列,astd_arc_shared_flux_network,55,27500,1800,25000,,1400,350,0,40,15,15,20,40,4200,OMNI,,240,0.6,0.7,,,400,500,300,300,10,30,8,300000,3,15,720,0.25,40,40,0,0,0,0,0,0,,astd_production,,astd_arc_jet_Standard,1,0,1,1,,9107
弧光新星,astd_arc_nova,主力舰,弧光阵列,astd_stellar_jet,72,22000,1000,27500,,1100,320,0,35,20,20,30,60,30000,FRONT,,120,0.6,0.8,,,10,250,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,,astd_unique,,astd_arc_nova_Standard,1,0,1,1,,9103
极光栅格,astd_aurora_grid,巡洋舰,自律核心,astd_grid_hardening,25,9000,600,12000,,800,160,0,65,32,32,30,60,16000,FRONT,,120,0.6,0.8,,,10,250,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,,astd_automated,,astd_aurora_grid_Standard,1,0,1,1,,9115
共轭终端,astd_conjugate_terminal,,,,0,120,40,300,,120,0,0,240,300,300,180,360,10,NONE,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIDE_IN_CODEX,,不可用 (无人机),,0,0,1,1,,9127
暗潮星云,astd_dark_tide_nebula,巡洋舰,透镜矩阵,astd_em_smoke,22,7000,700,9000,,600,150,0,70,35,35,30,60,16000,FRONT,,120,0.6,0.8,,,10,250,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,,astd_production,,astd_dark_tide_nebula_Standard,1,0,1,1,,9112
衍射,astd_diffraction,驱逐舰,透镜矩阵,astd_drone_surge,12,3000,350,5000,,400,95,0,100,50,50,30,60,8000,FRONT,,120,0.6,0.8,,,10,250,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,,astd_production,,astd_diffraction_Standard,1,0,1,1,,9113
回声微光,astd_echo_shimmer,护卫舰,自律核心,astd_signal_overload,4,600,50,1000,,100,35,0,180,90,90,30,60,4000,FRONT,,120,0.6,0.8,,,10,250,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,,astd_automated,,astd_echo_shimmer_Standard,1,0,1,1,,9117
视界线,astd_event_horizon,主力舰,透镜矩阵,astd_stasis_field,70,15000,800,18000,,1200,280,0,55,27,27,30,60,30000,FRONT,,120,0.6,0.8,,,10,250,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,,astd_unique,,astd_event_horizon_Standard,1,0,1,1,,9106
闪烁虚影,astd_flickering_phantom,护卫舰,透镜矩阵,astd_holographic_decoy,4,900,150,1800,,150,45,0,150,75,75,30,60,4000,FRONT,,120,0.6,0.8,,,10,250,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,,astd_production,,astd_flickering_phantom_Standard,1,0,1,1,,9114
引力透镜,astd_gravitational_lens,巡洋舰,透镜矩阵,astd_jamming_swarm,30,8500,800,14000,,800,150,0,60,30,30,30,60,16000,FRONT,,120,0.6,0.8,,,10,250,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,,astd_unique,,astd_gravitational_lens_Standard,1,0,1,1,,9104
磁暴折线,astd_magnetic_storm_zigzag,驱逐舰,自律核心,astd_emp_burst,14,3200,300,4000,,400,95,0,120,60,60,30,60,8000,FRONT,,120,0.6,0.8,,,10,250,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,,astd_automated,,astd_magnetic_storm_zigzag_Standard,1,0,1,1,,9116
磁层扰动,astd_magnetosphere_disturbance,主力舰,透镜矩阵,astd_emergency_recall,40,13000,900,15000,,800,220,0,50,25,25,30,60,30000,FRONT,,120,0.6,0.8,,,10,250,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,,astd_production,,astd_magnetosphere_disturbance_Standard,1,0,1,1,,9111
星云回声,astd_nebula_echo,驱逐舰,透镜矩阵,astd_targeting_beacon,12,2000,300,4000,,300,60,0,160,80,80,30,60,8000,FRONT,,120,0.6,0.8,,,10,250,0,0,0,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,,astd_unique,,astd_nebula_echo_Standard,1,0,1,1,,9105
断熵弧刃,astd_negentropy_edge,驱逐舰,弧光阵列,astd_collapse_shift,20,6500,650,9000,,600,120,1,115,74,74,30,60,350,OMNI,,180,0.0267,0.65,,,10,250,60,80,2,40,9,100000,5,20,480,0.25,12,12,0,0,0,0,0,0,,astd_unique,,astd_negentropy_edge_Standard,1,0,1,1,,9102
等离子拱,astd_plasma_arch,巡洋舰,弧光阵列,astd_plasma_armor_shield_boost,32,13000,1600,14000,,750,185,0,45,15,15,10,20,2250,FRONT,,360,0.6,1,,,150,250,150,100,3,33,8,100000,3,12,600,0.25,20,20,0,0,0,0,0,0,,astd_production,,astd_plasma_arch_Standard,1,0,1,1,,9108
辐射带,astd_radiation_belt,驱逐舰,弧光阵列,astd_limit_temporal_thruster,14,5500,650,6500,,500,90,0,95,42,42,30,60,8000,FRONT,,120,0.6,0.7,,,50,70,80,50,2,25,9,45000,5,15,360,0.25,11,11,0,0,0,0,0,0,,astd_production,,astd_radiation_belt_Standard,1,0,1,1,,9109
